accuracy,dice_coefficient,loss,val_accuracy,val_dice_coefficient,val_loss
0.7982149720191956,0.8445164561271667,0.4127761721611023,0.8757672309875488,0.8315935134887695,0.4813973605632782
0.7989324927330017,0.8431534767150879,0.4136499762535095,0.871980607509613,0.8296564221382141,0.4799789488315582
0.80048668384552,0.8463547825813293,0.4053793251514435,0.877514660358429,0.8342365026473999,0.4756077229976654
0.7985421419143677,0.8451727628707886,0.4108811616897583,0.876710832118988,0.831999659538269,0.4754743278026581
0.7978264093399048,0.8435317277908325,0.4152446687221527,0.8744049072265625,0.8259556293487549,0.4793120324611664
0.7988960146903992,0.8459598422050476,0.4087788462638855,0.8755590915679932,0.8290781378746033,0.4816247820854187
0.7990001440048218,0.8442080616950989,0.4106731712818146,0.873567521572113,0.8313539028167725,0.48150521516799927
0.7996261119842529,0.8478754758834839,0.40495187044143677,0.8693817257881165,0.8276008367538452,0.4872532784938812
0.7997374534606934,0.8463877439498901,0.4074406027793884,0.8740014433860779,0.8275404572486877,0.48312076926231384
0.7995681166648865,0.8455537557601929,0.4087512195110321,0.8724188208580017,0.8273054361343384,0.4839531183242798
0.7996811270713806,0.8465319871902466,0.4067264199256897,0.8724969625473022,0.8304498791694641,0.4788439869880676
0.801606297492981,0.848146915435791,0.4021752178668976,0.8761944770812988,0.832632303237915,0.4768407940864563
0.801667332649231,0.8474193811416626,0.40207943320274353,0.8709936738014221,0.8282046318054199,0.4866006076335907
0.7983355522155762,0.8470684885978699,0.40790480375289917,0.8721319437026978,0.8288429975509644,0.4836263954639435
0.8029266595840454,0.8484485745429993,0.39983201026916504,0.8737621903419495,0.8295868039131165,0.477992981672287
0.8015093803405762,0.8484708666801453,0.400883287191391,0.8770379424095154,0.8317902684211731,0.4765814244747162
0.8004814386367798,0.8475372195243835,0.40481486916542053,0.8759942650794983,0.8310953974723816,0.47833237051963806
0.8010591864585876,0.8471852540969849,0.4037192463874817,0.8743493556976318,0.8329409956932068,0.4803745746612549
0.8006547689437866,0.848242461681366,0.4026429355144501,0.8774957060813904,0.8365644216537476,0.4697086811065674
0.8007922172546387,0.8485433459281921,0.40247225761413574,0.8754986524581909,0.8337274789810181,0.48088976740837097
0.8027176260948181,0.8489278554916382,0.3995518684387207,0.8718597292900085,0.8281975984573364,0.4753606915473938
0.8018785119056702,0.8493436574935913,0.39957934617996216,0.8773187398910522,0.83054518699646,0.4797719717025757
0.8016101121902466,0.8494589924812317,0.39974743127822876,0.8777148723602295,0.8330073356628418,0.47601258754730225
0.8015488386154175,0.8478240966796875,0.4025093913078308,0.8701330423355103,0.8287621736526489,0.48554638028144836
0.8027031421661377,0.8504741787910461,0.39636698365211487,0.8728436231613159,0.8309836387634277,0.4853276014328003
0.8000956773757935,0.8481844663619995,0.4051958918571472,0.8676488995552063,0.821261465549469,0.4899039566516876
0.8012329339981079,0.8489223718643188,0.40096762776374817,0.8729785084724426,0.8314674496650696,0.48471179604530334
0.8013870716094971,0.8487564921379089,0.4020084738731384,0.8761767745018005,0.8360633254051208,0.47838711738586426
0.802460789680481,0.8491306304931641,0.39898863434791565,0.8772637844085693,0.8335819840431213,0.48153063654899597
